ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	mysimulations.Gatling30	gatling30	1670494244801	Gatling Execution	3.6.1
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325220	1670494325491	OK	 
GROUP	PurchaseTickets_tx	1670494324446	1670494325492	973	OK
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325236	1670494325497	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325241	1670494325497	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325225	1670494325497	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325240	1670494325497	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325231	1670494325500	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325239	1670494325510	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325251	1670494325502	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325255	1670494325510	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325228	1670494325511	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325240	1670494325510	OK	 
GROUP	PurchaseTickets_tx	1670494324446	1670494325557	1015	OK
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325232	1670494325529	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325237	1670494325528	OK	 
GROUP	PurchaseTickets_tx	1670494324440	1670494325566	1021	OK
GROUP	PurchaseTickets_tx	1670494324439	1670494325566	1052	OK
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325248	1670494325530	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325287	1670494325548	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325238	1670494325557	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325290	1670494325580	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325314	1670494325570	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325250	1670494325568	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325286	1670494325582	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325240	1670494325583	OK	 
